label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,14.56735,20.0,3.0,84.194,0.2964,0.014592,68.53,765.25,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,14.56735,10.0,3.0,42.313,0.1511,0.01457,68.633,764.1,731.33,199.02,930.35
21,R290,SRC_HX,COMP1,2.3859,10.0,5.5112,589.26,2.3991,0.204735,4.884,1758.52,312.82,89256.33,89569.16
22,R290,COMP1,IHX,2.3859,69.5,18.6717,662.463,2.4422,0.063403,15.772,544.59,38732.74,111400.79,150133.53
22c,R290,IHX,cc1,2.3859,49.0,18.6717,333.548,1.4391,0.00528,189.396,45.35,3881.01,111400.79,115281.8
23,R290,cc1,VAL1,2.3859,49.0,18.6717,333.548,1.4391,0.00528,189.396,45.35,3881.01,111400.79,115281.8
24,R290,VAL1,SRC_HX,2.3859,5.0,5.5112,333.548,1.48,0.068635,14.57,589.52,14019.14,89256.33,103275.47
31,R600a,IHX,COMP2,5.58495,49.0,5.8923,622.842,2.3556,0.378381,2.643,7607.66,26343.37,43938.15,70281.52
32,R600a,COMP2,SNK_HX,5.58495,106.15,21.7777,684.337,2.3881,0.088703,11.274,1783.45,75465.7,46780.02,122245.72
32c,R600a,SNK_HX,cc2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.58495,44.0,5.8923,482.329,1.9127,0.216111,4.627,4345.1,15639.47,43938.15,59577.62
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
