label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
13,water (source),SRC_HX,source outlet,15.0,20.44,3.0,86.033,0.3027,0.015027,66.547,811.46,1.38,199.02,200.4
21,R717,SRC_HX,COMP1,0.67275,20.44,7.3888,1636.633,5.9615,0.118887,8.411,287.93,0.94,273757.38,273758.32
22,R717,COMP1,IHX,0.67275,195.93,46.0954,2002.139,6.1217,0.030338,32.962,73.47,293256.51,299049.72,592306.23
22c,R717,IHX,cc1,0.67275,80.0,46.0954,745.433,2.7388,0.001327,753.504,3.21,28267.87,299049.72,327317.59
23,R717,cc1,VAL1,0.67275,80.0,46.0954,745.433,2.7388,0.001327,753.504,3.21,28267.87,299049.72,327317.59
24,R717,VAL1,SRC_HX,0.67275,15.44,7.3888,745.433,2.8739,0.03233,30.931,78.3,13958.23,273757.38,287715.61
31,R600,IHX,COMP2,5.38874,80.0,9.0616,701.54,2.5023,0.24724,4.045,4796.32,61440.51,29865.71,91306.22
32,R600,COMP2,SNK_HX,5.38874,126.4,24.1659,748.974,2.5261,0.078711,12.705,1526.95,99295.49,32465.73,131761.21
32c,R600,SNK_HX,cc2,5.38874,125.0,24.1659,544.648,2.0129,0.013034,76.72,252.86,45404.57,32465.73,77870.29
33,R600,cc2,VAL2,5.38874,125.0,24.1659,544.648,2.0129,0.013034,76.72,252.86,45404.57,32465.73,77870.29
34,R600,VAL2,IHX,5.38874,75.0,9.0616,544.648,2.0518,0.128931,7.756,2501.2,36588.45,29865.71,66454.16
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
