name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,181.4603,2.5485,-18.3275,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,231.5755,2.6188,-12.5054,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-883.2475,87.9525,86.1814,17.6879,5.0,5.0,10.0423,1.0,1.0,0.9355,0.8261,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,204.3015,222.7353,5.9405,5.0,5.0,5.4568,1.0,1.0,0.9322,0.9944,,,,,
SRC_HX,HeatExchanger,,,,,-701.7872,91.3153,74.1226,11.1937,5.0,5.0,7.6853,1.0,1.0,0.6913,0.8987,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3924,18.3275,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3818,12.5054,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
