f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.3,20,110.0,,R290,R600a,1114.82,0.5,1800.0,668.2,1444.5,166.44,414.94,611.98,1.0,1.822,0.452,5.51,19.89,72.9,6.36,26.02,116.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,30,110.0,,R290,R600a,1114.82,0.5,1800.0,580.9,1207.7,168.58,361.03,557.48,1.0,2.0,0.444,7.32,22.96,78.3,7.55,26.02,116.9,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,40,110.0,,R290,R600a,1114.82,0.5,1800.0,652.2,1013.6,211.36,309.71,548.5,1.0,2.033,0.424,7.32,26.38,86.2,8.89,26.02,117.3,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,50,110.0,,R290,R600a,1114.82,0.5,1800.0,733.0,853.5,261.15,261.04,549.67,1.0,2.028,0.397,7.32,30.16,94.1,10.41,26.02,117.8,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,60,110.0,,R290,R600a,1114.82,0.5,1800.0,827.6,720.9,320.14,215.04,563.35,1.0,1.979,0.362,7.32,34.36,102.1,12.11,26.02,118.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,20,110.0,,R290,R600a,1114.82,0.5,1800.0,775.7,1148.3,220.23,346.1,596.14,1.0,1.87,0.464,5.51,23.9,83.0,7.92,26.02,117.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,30,110.0,,R290,R600a,1114.82,0.5,1800.0,663.1,988.8,218.01,302.59,548.0,1.0,2.034,0.451,7.32,26.89,87.3,9.1,26.02,117.4,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,40,110.0,,R290,R600a,1114.82,0.5,1800.0,733.0,853.5,261.15,261.04,549.67,1.0,2.028,0.423,7.32,30.16,94.1,10.41,26.02,117.8,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,50,110.0,,R290,R600a,1114.82,0.5,1800.0,813.0,738.4,311.03,221.45,560.5,1.0,1.989,0.389,7.32,33.73,101.0,11.85,26.02,118.2,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,60,110.0,,R290,R600a,1114.82,0.5,1800.0,907.1,640.0,369.92,183.8,582.87,1.0,1.913,0.349,7.32,37.64,107.8,13.44,26.02,118.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,20,110.0,,R290,R600a,1114.82,0.5,1800.0,898.8,918.4,284.49,281.57,595.86,1.0,1.871,0.464,5.51,28.49,93.1,9.74,26.02,117.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.5,30,110.0,,R290,R600a,1114.82,0.5,1800.0,758.4,813.1,276.94,247.62,552.17,1.0,2.019,0.448,7.32,31.32,96.4,10.88,26.02,117.9,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,40,110.0,,R290,R600a,1114.82,0.5,1800.0,827.6,720.9,320.14,215.04,563.35,1.0,1.979,0.413,7.32,34.36,102.1,12.11,26.02,118.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,50,110.0,,R290,R600a,1114.82,0.5,1800.0,907.1,640.0,369.92,183.8,582.87,1.0,1.913,0.374,7.32,37.64,107.8,13.44,26.02,118.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,60,110.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.6,20,110.0,,R290,R600a,1114.82,0.5,1800.0,1045.9,738.4,363.04,221.45,615.25,1.0,1.812,0.449,5.51,33.73,103.1,11.85,26.02,118.2,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
