Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-6.032e-11,0.199,0,-0,0,-0,-0,0
12,15,10.18,3,43.07,153.7,13.56,0.9038,0.7047,0.199,31.24,-9.408e-17,31.24,820.8,-8.754e-15,640
21,2.617,10.18,6.797,590.9,2404,275.6,105.3,0.2883,105,0.6142,79.47,80.09,226.1,80.33,80.73
22,2.617,85.3,26.32,675.9,2452,461.2,176.2,48.06,128.1,36.38,96.99,133.4,80.33,80.33,80.33
22c,2.617,57,26.32,355.2,1501,351.9,134.5,6.309,128.1,4.775,96.99,101.8,80.33,80.33,80.33
23,2.617,57,26.32,355.2,1501,351.9,134.5,6.309,128.1,4.775,96.99,101.8,80.33,80.33,80.33
24,2.617,5.181,6.797,355.2,1558,308.2,117.8,12.76,105,27.18,79.47,106.7,226.1,80.33,96.12
31,5.548,57,7.192,633.6,2364,435.7,78.53,34.35,44.17,74.11,69.82,143.9,108,79.14,91.76
32,5.548,106.6,21.78,685.7,2392,679.9,122.5,75.77,46.78,139.6,73.95,213.5,92.22,79.14,87.23
32c,5.548,105,21.78,482.3,1854,426.3,76.83,30.05,46.78,55.36,73.95,129.3,92.22,79.14,84.26
33,5.548,105,21.78,482.3,1854,426.3,76.83,30.05,46.78,55.36,73.95,129.3,92.22,79.14,84.26
34,5.548,52,7.192,482.3,1899,352.7,63.57,19.4,44.17,35.74,69.82,105.6,92.22,79.14,83.13
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,89.19,0,120.4,94.82,0,128
