label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,15.0,31.03,3.0,130.294,0.4508,0.015069,66.362,813.72,845.72,199.02,1044.75
21,R717,SRC_HX,COMP1,0.58583,31.03,10.3481,1645.156,5.842,0.074799,13.369,157.75,24127.32,293209.88,317337.21
22,R717,COMP1,IHX,0.58583,147.11,36.2748,1882.262,5.957,0.02945,33.956,62.11,223268.37,297448.37,520716.73
22c,R717,IHX,cc1,0.58583,69.0,36.2748,685.022,2.5704,0.001107,903.155,2.34,18798.18,297448.37,316246.55
23,R717,cc1,VAL1,0.58583,69.0,36.2748,685.022,2.5704,0.001107,903.155,2.34,18798.18,297448.37,316246.55
24,R717,VAL1,SRC_HX,0.58583,26.03,10.3481,685.022,2.6331,0.014392,69.481,30.35,4661.27,293209.88,297871.15
31,R600a,IHX,COMP2,7.597,69.0,9.5221,649.328,2.3776,0.317463,3.15,8682.36,45720.23,44588.9,90309.13
32,R600a,COMP2,SNK_HX,7.597,128.26,30.8803,701.939,2.4039,0.075567,13.233,2066.7,86812.68,48401.61,135214.29
32c,R600a,SNK_HX,cc2,7.597,125.0,30.8803,557.006,2.04,0.021669,46.148,592.63,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.597,125.0,30.8803,557.006,2.04,0.021669,46.148,592.63,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.597,64.0,9.5221,557.006,2.104,0.222589,4.493,6087.63,33602.47,44588.9,78191.37
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
42,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
