name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,231.7125,6.3281,-38.8111,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,309.6216,2.5506,-18.7734,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-791.4355,22.2882,61.0825,116.93,5.0,5.0,35.5092,1.0,1.0,0.9781,0.2777,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,162.8929,212.477,8.8898,5.0,5.0,6.7594,1.0,1.0,0.8624,0.9914,,,,,
SRC_HX,HeatExchanger,,,,,-559.723,77.6374,61.6488,9.99,5.0,5.0,7.2095,1.0,1.0,0.6662,0.9698,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.158,38.8111,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3921,18.7734,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
