Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.23,3,118.6,412.2,10.1,0.6734,0.4744,0.199,1.379e-15,1.819e-16,1.561e-15,5.385e-14,1.692e-14,4.294e-14
21,0.7971,28.23,9.492,1643,5873,244.1,306.2,13.17,293.1,5.318,62.8,68.12,140.7,74.68,77.52
22,0.7971,166.9,41.41,1928,6005,440.1,552.1,253.8,298.3,56.88,63.92,120.8,78.11,74.68,76.25
22c,0.7971,75,41.41,717.6,2662,256.6,322,23.71,298.3,5.313,63.92,69.23,78.11,74.68,74.93
23,0.7971,75,41.41,717.6,2662,256.6,322,23.71,298.3,5.313,63.92,69.23,78.11,74.68,74.93
24,0.7971,23.23,9.492,717.6,2751,235.9,296,2.951,293.1,0.6614,62.8,63.46,78.11,74.68,74.71
31,4.463,75,8.091,694.6,2496,384.8,86.23,56.53,29.7,97.12,38.49,135.6,106.9,80.66,97.88
32,4.463,106.7,16.8,731.3,2515,523.2,117.2,86.02,31.2,135.3,40.43,175.8,97.92,80.66,93.33
32c,4.463,105,16.8,478.5,1847,269.5,60.39,29.19,31.2,45.93,40.43,86.36,97.92,80.66,89
33,4.463,105,16.8,478.5,1847,269.5,60.39,29.19,31.2,45.93,40.43,86.36,97.92,80.66,89
34,4.463,70,8.091,478.5,1866,244,54.67,24.97,29.7,39.29,38.49,77.78,97.92,80.66,88.54
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,94.12,0,94.12,100.1,0,100.1
