Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.78,3,120.9,419.8,11.07,0.7382,0.5392,0.199,8.207e-17,-8.207e-17,0,2.819e-15,-7.636e-15,0
21,3.672,28.78,9.229,609.6,2385,418.9,114.1,4.577,109.5,9.344,121,130.3,154.5,83.59,86.43
22,3.672,94.72,31.32,680.8,2424,638.3,173.9,59.96,113.9,70.53,125.9,196.4,89,83.59,85.46
22c,3.672,75,31.32,418.1,1682,471.9,128.5,14.63,113.9,17.21,125.9,143.1,89,83.59,84.21
23,3.672,75,31.32,418.1,1682,471.9,128.5,14.63,113.9,17.21,125.9,143.1,89,83.59,84.21
24,3.672,23.78,9.229,418.1,1740,409.6,111.6,2.056,109.5,2.418,121,123.4,89,83.59,83.69
31,4.463,75,8.091,694.6,2496,384.8,86.23,56.53,29.7,105.2,41.76,146.9,115.8,87.52,106.1
32,4.463,106.7,16.8,731.3,2515,523.2,117.2,86.02,31.2,146.6,43.87,190.5,106.1,87.52,101.2
32c,4.463,105,16.8,478.5,1847,269.5,60.39,29.19,31.2,49.77,43.87,93.64,106.1,87.52,96.5
33,4.463,105,16.8,478.5,1847,269.5,60.39,29.19,31.2,49.77,43.87,93.64,106.1,87.52,96.5
34,4.463,70,8.091,478.5,1866,244,54.67,24.97,29.7,42.57,41.76,84.34,106.1,87.52,96.01
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,102.8,0,102.8,109.2,0,109.2
