label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,60.0,3.0,251.416,0.8311,0.015255,65.552,823.77,10467.41,199.02,10666.43
12,water (source),SRC_HX,source outlet,15.0,47.63,3.0,199.7,0.673,0.015164,65.945,818.87,5124.04,199.02,5323.06
21,R290,SRC_HX,COMP1,4.5032,47.63,14.5459,627.755,2.3739,0.145195,6.887,2353.84,24870.23,110579.5,135449.74
22,R290,COMP1,IHX,4.5032,103.39,37.641,681.044,2.4023,0.051995,19.233,842.92,65253.76,115154.23,180407.99
22c,R290,IHX,cc1,4.5032,85.0,37.641,455.493,1.7834,0.012372,80.825,200.58,21123.29,115154.23,136277.52
23,R290,cc1,VAL1,4.5032,85.0,37.641,455.493,1.7834,0.012372,80.825,200.58,21123.29,115154.23,136277.52
24,R290,VAL1,SRC_HX,4.5032,42.63,14.5459,455.493,1.8286,0.070436,14.197,1141.87,12440.18,110579.5,123019.68
31,R600,IHX,COMP2,4.41923,85.0,10.1159,708.349,2.5086,0.181036,5.524,2880.14,66221.25,30047.54,96268.79
32,R600,COMP2,SNK_HX,4.41923,107.62,16.8006,733.807,2.522,0.102687,9.738,1633.66,86597.71,31199.21,117796.92
32c,R600,SNK_HX,cc2,4.41923,105.0,16.8006,478.513,1.8469,0.009654,103.586,153.58,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.41923,105.0,16.8006,478.513,1.8469,0.009654,103.586,153.58,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.41923,80.0,10.1159,478.513,1.858,0.051279,19.501,815.8,27105.87,30047.54,57153.41
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
