label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,15.0,19.54,3.0,82.289,0.2899,0.015024,66.559,811.31,1.48,199.02,200.5
21,R1270,SRC_HX,COMP1,2.65074,19.54,8.8118,599.514,2.3897,0.147583,6.776,1408.33,0.64,118080.82,118081.46
22,R1270,COMP1,IHX,2.65074,80.51,25.7983,666.216,2.4277,0.052955,18.884,505.34,45597.97,128040.46,173638.43
22c,R1270,IHX,cc1,2.65074,56.0,25.7983,352.141,1.4916,0.005946,168.179,56.74,5961.61,128040.46,134002.07
23,R1270,cc1,VAL1,2.65074,56.0,25.7983,352.141,1.4916,0.005946,168.179,56.74,5961.61,128040.46,134002.07
24,R1270,VAL1,SRC_HX,2.65074,14.54,8.8118,352.141,1.5301,0.050225,19.91,479.28,4611.9,118080.82,122692.72
31,R600a,IHX,COMP2,5.5533,56.0,7.0189,632.245,2.363,0.316252,3.162,6322.47,33372.54,44140.21,77512.75
32,R600a,COMP2,SNK_HX,5.5533,106.52,21.7777,685.488,2.3911,0.088609,11.286,1771.46,75727.61,46780.02,122507.64
32c,R600a,SNK_HX,cc2,5.5533,105.0,21.7777,482.329,1.8539,0.013298,75.198,265.86,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.5533,105.0,21.7777,482.329,1.8539,0.013298,75.198,265.86,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.5533,51.0,7.0189,482.329,1.9007,0.168267,5.943,3363.98,18965.34,44140.21,63105.56
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
