name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,184.3236,2.418,-19.8712,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,190.5673,2.3337,-9.6015,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-937.6346,81.4302,88.6616,22.1256,5.0,5.0,11.5146,1.0,1.0,0.9375,0.8157,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,201.3443,225.3138,6.2534,5.0,5.0,5.6033,1.0,1.0,0.9413,0.9943,,,,,
SRC_HX,HeatExchanger,,,,,-753.3109,94.1439,77.1809,12.0157,5.0,5.0,8.0017,1.0,1.0,0.7062,0.8996,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.4136,19.8712,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4285,9.6015,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
