label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,15.0,18.93,3.0,79.734,0.2812,0.015022,66.568,811.21,8.13,199.02,207.15
21,R717,SRC_HX,COMP1,0.70668,18.93,7.0276,1635.256,5.9792,0.131029,7.632,333.34,5.5,267209.69,267215.19
22,R717,COMP1,IHX,0.70668,158.05,31.629,1924.536,6.1167,0.042954,23.281,109.28,219499.77,296690.04,516189.81
22c,R717,IHX,cc1,0.70668,63.0,31.629,653.138,2.479,0.001308,764.697,3.33,14480.91,296690.04,311170.95
23,R717,cc1,VAL1,0.70668,63.0,31.629,653.138,2.479,0.001308,764.697,3.33,14480.91,296690.04,311170.95
24,R717,VAL1,SRC_HX,0.70668,13.93,7.0276,653.138,2.5586,0.026513,37.717,67.45,20631.74,267209.69,287841.44
31,R600,IHX,COMP2,4.51017,63.0,6.0757,677.724,2.4815,0.309047,3.236,5017.87,44232.36,29350.45,73582.81
32,R600,COMP2,SNK_HX,4.51017,105.7,16.8006,728.659,2.5084,0.103144,9.695,1674.71,85423.16,31199.21,116622.37
32c,R600,SNK_HX,cc2,4.51017,105.0,16.8006,478.513,1.8469,0.009852,101.497,159.97,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.51017,105.0,16.8006,478.513,1.8469,0.009852,101.497,159.97,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.51017,58.0,6.0757,478.513,1.8801,0.130582,7.658,2120.21,21304.49,29350.45,50654.94
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
