name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,181.7155,3.396,-13.1735,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,313.2003,3.9759,-12.5749,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-815.0016,74.1381,79.5008,20.5237,5.0,5.0,10.993,1.0,1.0,0.9564,0.8157,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,225.6404,225.6404,5.0,5.0,5.0,5.0,1.0,1.0,0.9405,0.9954,,,,,
SRC_HX,HeatExchanger,,,,,-633.2861,87.4007,69.6758,10.0805,5.0,5.0,7.2458,1.0,1.0,0.6679,0.9339,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2945,13.1735,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2515,12.5749,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
