label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,10.09,3.0,42.697,0.1524,0.015003,66.653,810.17,717.81,199.02,916.84
21,R1270,SRC_HX,COMP1,2.65113,9.18,6.6048,589.965,2.4056,0.1961,5.099,1871.59,348.73,103520.2,103868.94
22,R1270,COMP1,IHX,2.65113,86.37,26.61,677.494,2.4548,0.052839,18.925,504.3,48779.31,128196.68,176975.99
22c,R1270,IHX,cc1,2.65113,56.98,26.31,355.176,1.5004,0.005978,167.293,57.05,6301.39,128138.94,134440.34
23,R1270,cc1,VAL1,2.65113,56.98,26.31,355.176,1.5004,0.005978,167.293,57.05,6301.39,128138.94,134440.34
24,R1270,VAL1,SRC_HX,2.65113,5.09,6.7798,355.176,1.5575,0.074729,13.382,713.22,12839.4,104868.73,117708.13
31,R600,IHX,COMP2,4.52097,55.87,5.0714,667.523,2.4734,0.369869,2.704,6019.8,36575.4,29177.03,65752.43
32,R600,COMP2,SNK_HX,4.52097,105.96,17.0506,728.061,2.5053,0.101154,9.886,1646.33,85682.25,31242.24,116924.49
32c,R600,SNK_HX,cc2,4.52097,105.0,16.8006,478.513,1.8469,0.009876,101.255,160.74,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.52097,105.0,16.8006,478.513,1.8469,0.009876,101.255,160.74,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.52097,52.0,5.2214,478.513,1.8886,0.164287,6.087,2673.86,18974.73,29202.93,48177.66
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
