label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,11.21,3.0,47.396,0.169,0.015005,66.645,810.26,563.04,199.02,762.06
21,R1270,SRC_HX,COMP1,2.46408,11.21,7.0005,591.884,2.4023,0.172187,5.808,1527.41,231.64,106514.02,106745.66
22,R1270,COMP1,IHX,2.46408,89.8,28.4955,679.847,2.4513,0.04557,21.944,404.24,51797.36,128559.31,180356.66
22c,R1270,IHX,cc1,2.46408,61.0,28.4955,367.875,1.5371,0.00568,176.052,50.39,7811.6,128559.31,136370.91
23,R1270,cc1,VAL1,2.46408,61.0,28.4955,367.875,1.5371,0.00568,176.052,50.39,7811.6,128559.31,136370.91
24,R1270,VAL1,SRC_HX,2.46408,6.21,7.0005,367.875,1.6008,0.072086,13.872,639.45,11207.33,106514.02,117721.34
31,R600a,IHX,COMP2,6.32064,61.0,7.9156,638.884,2.3685,0.318972,3.135,7257.98,38229.61,44300.99,82530.6
32,R600a,COMP2,SNK_HX,6.32064,117.05,26.0191,693.641,2.3967,0.079656,12.554,1812.52,81495.84,47536.22,129032.07
32c,R600a,SNK_HX,cc2,6.32064,115.0,26.0191,517.263,1.9423,0.016233,61.601,369.38,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.32064,115.0,26.0191,517.263,1.9423,0.016233,61.601,369.38,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.32064,56.0,7.9156,517.263,1.9992,0.19624,5.096,4465.31,24858.01,44300.99,69159.01
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
43,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
