Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.38,3,119.3,414.3,10.36,0.6909,0.4919,0.199,-1.24e-14,-9.239e-17,-1.249e-14,-4.667e-13,-8.596e-15,-3.348e-13
21,0.7867,28.38,9.537,1643,5871,241.4,306.9,13.77,293.1,5.768,62.98,68.74,147.9,75.88,79.11
22,0.7867,166.6,41.41,1927,6003,434.1,551.8,253.5,298.3,57.28,64.09,121.4,79.79,75.88,77.67
22c,0.7867,75,41.41,717.6,2662,253.3,322,23.71,298.3,5.357,64.09,69.45,79.79,75.88,76.16
23,0.7867,75,41.41,717.6,2662,253.3,322,23.71,298.3,5.357,64.09,69.45,79.79,75.88,76.16
24,0.7867,23.38,9.537,717.6,2750,233,296.2,3.084,293.1,0.6969,62.98,63.67,79.79,75.88,75.92
31,5.446,75,10.88,657,2384,522.5,95.94,51.11,44.83,107.3,70.27,177.6,107.1,79.94,94.4
32,5.446,107.8,21.78,689.5,2402,672.2,123.4,76.64,46.78,147.3,73.32,220.6,98.04,79.94,91.18
32c,5.446,105,21.78,482.3,1854,418.5,76.83,30.05,46.78,57.77,73.32,131.1,98.04,79.94,87.02
33,5.446,105,21.78,482.3,1854,418.5,76.83,30.05,46.78,57.77,73.32,131.1,98.04,79.94,87.02
34,5.446,70,10.88,482.3,1876,383.6,70.42,25.59,44.83,49.2,70.27,119.5,98.04,79.94,86.51
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,94.59,0,94.59,100.6,0,100.6
