Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.26,3,122.9,426.4,11.96,0.7972,0.5982,0.199,-1.239e-14,-9.503e-17,-1.249e-14,-3.837e-13,-8.842e-15,-2.901e-13
21,0.7496,29.26,9.799,1644,5861,232.6,310.3,17.22,293.1,6.512,61.42,67.93,140.2,77.64,81.11
22,0.7496,176.5,46.1,1946,5999,428.7,571.9,272.8,299,60.07,62.66,122.7,81.59,77.64,79.52
22c,0.7496,80,46.1,745.4,2739,245.4,327.3,28.27,299,6.224,62.66,68.88,81.59,77.64,77.98
23,0.7496,80,46.1,745.4,2739,245.4,327.3,28.27,299,6.224,62.66,68.88,81.59,77.64,77.98
24,0.7496,24.26,9.799,745.4,2841,222.9,297.4,4.235,293.1,0.9325,61.42,62.35,81.59,77.64,77.7
31,6.165,80,12.11,663.2,2390,619.6,100.5,55.45,45.05,134,80.59,214.6,108.9,80.59,96.2
32,6.165,118.3,26.02,698.1,2408,802.4,130.1,82.61,47.54,182.6,85.03,267.6,99.58,80.59,92.65
32c,6.165,115,26.02,517.3,1942,529.3,85.85,38.31,47.54,84.68,85.03,169.7,99.58,80.59,89.07
33,6.165,115,26.02,517.3,1942,529.3,85.85,38.31,47.54,84.68,85.03,169.7,99.58,80.59,89.07
34,6.165,75,12.11,517.3,1971,477.1,77.38,32.32,45.05,71.45,80.59,152,99.58,80.59,88.53
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,103.4,-0,103.4,100.4,-0,100.4
