Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-1.589e-10,0.199,0,-0,0,-0,-0,0
12,15,11.89,3,50.23,178.9,10.17,0.678,0.479,0.199,30.35,4.217e-17,30.35,1174,3.924e-15,829
21,2.093,11.89,7.136,592.5,2401,225.4,107.7,0.1978,107.5,0.4274,73.04,73.47,286.8,90.2,90.56
22,2.093,82.15,25.28,671.8,2446,363.6,173.7,45.78,127.9,31.11,86.94,118,90.2,90.2,90.2
22c,2.093,55,25.28,349.1,1483,279.5,133.6,5.625,127.9,3.822,86.94,90.76,90.2,90.2,90.2
23,2.093,55,25.28,349.1,1483,279.5,133.6,5.625,127.9,3.822,86.94,90.76,90.2,90.2,90.2
24,2.093,6.888,7.136,349.1,1532,249.1,119,11.52,107.5,24.88,73.04,97.93,286.8,90.2,109.2
31,5.552,55,4.958,666.3,2472,359.7,64.78,35.62,29.16,83.29,50.47,133.8,117,86.6,103.3
32,5.552,125,24.17,742.9,2511,722.7,130.2,97.7,32.47,190.7,56.2,246.9,97.67,86.6,94.91
32c,5.552,125,24.17,544.6,2013,432.4,77.87,45.4,32.47,88.65,56.2,144.8,97.67,86.6,93.06
33,5.552,125,24.17,544.6,2013,432.4,77.87,45.4,32.47,88.65,56.2,144.8,97.67,86.6,93.06
34,5.552,50,4.958,544.6,2096,296.6,53.42,24.26,29.16,47.36,50.47,97.84,97.67,86.6,91.63
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
42,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,108,-0,138.3,96.95,-0,124.2
