label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,3.7505,60.0,3.0,251.416,0.8311,0.003814,262.174,51.5,10467.41,199.02,10666.43
12,water (source),SRC_HX,source outlet,3.7505,20.01,3.0,84.236,0.2966,0.003757,266.177,50.72,0.0,199.02,199.02
21,R290,SRC_HX,COMP1,3.91278,20.01,7.3171,600.335,2.3908,0.254496,3.929,3584.83,0.0,103064.49,103064.49
22,R290,COMP1,IHX,3.91278,103.23,34.9971,691.909,2.4398,0.05178,19.312,729.37,65631.04,114633.22,180264.26
22c,R290,IHX,cc1,3.91278,81.0,34.9971,440.089,1.7422,0.010389,96.256,146.34,18331.39,114633.22,132964.61
23,R290,cc1,VAL1,3.91278,81.0,34.9971,440.089,1.7422,0.010389,96.256,146.34,18331.39,114633.22,132964.61
24,R290,VAL1,SRC_HX,3.91278,15.01,7.3171,440.089,1.835,0.144831,6.905,2040.09,2692.62,103064.49,105757.11
31,R600a,IHX,COMP2,5.41082,81.0,12.3649,664.43,2.3913,0.171819,5.82,3346.86,56299.22,45097.97,101397.19
32,R600a,COMP2,SNK_HX,5.41082,108.27,21.7777,690.838,2.4052,0.088154,11.344,1717.14,76956.18,46780.02,123736.21
32c,R600a,SNK_HX,cc2,5.41082,105.0,21.7777,482.329,1.8539,0.012957,77.178,252.39,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.41082,105.0,21.7777,482.329,1.8539,0.012957,77.178,252.39,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.41082,76.0,12.3649,482.329,1.87,0.06447,15.511,1255.81,27022.98,45097.97,72120.95
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
