name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,183.7389,2.2833,-22.9243,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,215.0412,2.1491,-13.9123,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-899.7818,78.6626,83.2608,21.89,5.0,5.0,11.4385,1.0,1.0,0.9182,0.7452,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,171.48,219.4696,8.2764,5.0,5.0,6.5012,1.0,1.0,0.9045,0.9923,,,,,
SRC_HX,HeatExchanger,,,,,-716.043,92.147,75.1,11.4138,5.0,5.0,7.7707,1.0,1.0,0.6955,0.8831,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.438,22.9243,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4653,13.9123,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
