Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-1.589e-10,0.199,0,-0,0,-0,-0,0
12,15,11.33,3,47.88,170.7,11.21,0.7473,0.5483,0.199,21.77,1.18e-17,21.77,735.2,1.098e-15,539.4
21,0.5651,11.33,5.406,1628,6071,131.5,232.8,0.3506,232.4,0.1231,38.53,38.65,172.5,81.48,81.62
22,0.5651,181.2,33.12,1985,6233,306.7,542.8,245.8,296.9,40.75,49.22,89.97,81.48,81.48,81.48
22c,0.5651,65,33.12,663.7,2509,176.8,312.8,15.86,296.9,2.628,49.22,51.85,81.48,81.48,81.48
23,0.5651,65,33.12,663.7,2509,176.8,312.8,15.86,296.9,2.628,49.22,51.85,81.48,81.48,81.48
24,0.5651,6.327,5.406,663.7,2622,158.1,279.8,47.39,232.4,16.63,38.53,55.16,172.5,81.48,96.9
31,5.494,65,6.382,680.6,2484,416.1,75.74,46.33,29.4,104.9,47.77,152.7,114.5,82.13,101.9
32,5.494,125.3,24.17,745,2516,718.2,130.7,98.25,32.47,189.3,52.74,242,97.38,82.13,93.6
32c,5.494,125,24.17,544.6,2013,427.9,77.87,45.4,32.47,87.46,52.74,140.2,97.38,82.13,91.03
33,5.494,125,24.17,544.6,2013,427.9,77.87,45.4,32.47,87.46,52.74,140.2,97.38,82.13,91.03
34,5.494,60,6.382,544.6,2076,326.1,59.35,29.95,29.4,57.68,47.77,105.5,97.38,82.13,89.83
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
42,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,107.1,-0,128.9,96.17,-0,115.7
