name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,209.949,2.6865,-19.6609,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,176.9797,2.0025,-10.9023,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-951.2221,93.3765,92.3868,18.112,5.0,5.0,10.187,1.0,1.0,0.933,0.8126,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,178.9242,223.6616,7.8205,5.0,5.0,6.3055,1.0,1.0,0.9241,0.9929,,,,,
SRC_HX,HeatExchanger,,,,,-741.2732,93.4965,76.5153,11.8236,5.0,5.0,7.9284,1.0,1.0,0.7028,0.8905,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3722,19.6609,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4994,10.9023,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
