name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,177.5521,2.2426,-18.0127,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,165.4348,1.9177,-10.4213,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-962.7671,98.2206,94.0825,16.9895,5.0,5.0,9.8021,1.0,1.0,0.929,0.8228,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,177.1078,223.4828,7.9703,5.0,5.0,6.3701,1.0,1.0,0.9243,0.9928,,,,,
SRC_HX,HeatExchanger,,,,,-785.215,95.8569,79.1104,12.5169,5.0,5.0,8.1915,1.0,1.0,0.7147,0.8793,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.4459,18.0127,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5215,10.4213,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
