Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
13,15,29.49,3,123.9,429.6,12.41,0.8272,0.6281,0.199,-1.656e-17,1.656e-17,0,-4.883e-16,1.541e-15,0
21,2.945,29.49,11.4,608,2376,384.7,130.6,5.379,125.3,9.057,115,124.1,158.8,86.62,89.6
22,2.945,89.64,31.4,669.9,2410,537.3,182.5,53.36,129.1,53.12,118.6,171.7,93.9,86.62,88.75
22c,2.945,66,31.4,384.2,1584,409.5,139.1,9.955,129.1,9.909,118.6,128.5,93.9,86.62,87.15
23,2.945,66,31.4,384.2,1584,409.5,139.1,9.955,129.1,9.909,118.6,128.5,93.9,86.62,87.15
24,2.945,24.49,11.4,384.2,1624,374.5,127.2,1.926,125.3,1.917,115,116.9,93.9,86.62,86.73
31,4.909,66,6.54,682,2485,377.1,76.81,47.38,29.43,101.1,45.21,146.3,120.8,86.91,107.8
32,4.909,115.4,20.23,737.7,2514,609.2,124.1,92.31,31.79,170.1,48.83,219,104.3,86.91,99.83
32c,4.909,115,20.23,510.6,1929,336.4,68.52,36.73,31.79,67.7,48.83,116.5,104.3,86.91,96.22
33,4.909,115,20.23,510.6,1929,336.4,68.52,36.73,31.79,67.7,48.83,116.5,104.3,86.91,96.22
34,4.909,61,6.54,510.6,1972,273.5,55.71,26.28,29.43,48.44,45.21,93.64,104.3,86.91,95.1
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
43,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,108.5,-0,108.5,105.3,-0,105.3
