name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,185.9056,2.2179,-21.1991,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,153.1456,1.9837,-8.3312,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-975.0562,86.4851,91.1969,21.3836,5.0,5.0,11.2743,1.0,1.0,0.9248,0.8234,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,191.7286,224.9668,6.8673,5.0,5.0,5.8844,1.0,1.0,0.9417,0.9938,,,,,
SRC_HX,HeatExchanger,,,,,-789.1506,96.0603,79.339,12.5797,5.0,5.0,8.2152,1.0,1.0,0.7157,0.8799,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.4509,21.1991,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5041,8.3312,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
