label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,60.0,3.0,251.416,0.8311,0.015255,65.552,823.77,10467.41,199.02,10666.43
12,water (source),SRC_HX,source outlet,15.0,47.42,3.0,198.805,0.6702,0.015163,65.951,818.79,5047.23,199.02,5246.25
21,R1270,SRC_HX,COMP1,3.9804,47.42,17.4061,620.981,2.3515,0.109489,9.133,1568.92,24314.37,126421.04,150735.41
22,R1270,COMP1,IHX,3.9804,98.38,38.6052,667.686,2.3768,0.048526,20.607,695.35,59542.64,130497.5,190040.14
22c,R1270,IHX,cc1,3.9804,77.0,38.6052,422.721,1.6902,0.010256,97.505,146.96,15852.4,130497.5,146349.9
23,R1270,cc1,VAL1,3.9804,77.0,38.6052,422.721,1.6902,0.010256,97.505,146.96,15852.4,130497.5,146349.9
24,R1270,VAL1,SRC_HX,3.9804,42.42,17.4061,422.721,1.7236,0.044366,22.54,635.75,10146.66,126421.04,136567.7
31,R600,IHX,COMP2,4.45451,77.0,8.4694,697.405,2.4985,0.218951,4.567,3511.15,58510.53,29763.55,88274.08
32,R600,COMP2,SNK_HX,4.45451,106.87,16.8006,731.785,2.5167,0.102868,9.721,1649.61,86133.96,31199.21,117333.17
32c,R600,SNK_HX,cc2,4.45451,105.0,16.8006,478.513,1.8469,0.009731,102.765,156.05,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.45451,105.0,16.8006,478.513,1.8469,0.009731,102.765,156.05,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.45451,72.0,8.4694,478.513,1.8645,0.07367,13.574,1181.39,25465.66,29763.55,55229.21
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
