label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,60.0,3.0,251.416,0.8311,0.015255,65.552,823.77,10467.41,199.02,10666.43
12,water (source),SRC_HX,source outlet,15.0,47.34,3.0,198.449,0.6691,0.015162,65.954,818.76,5016.79,199.02,5215.82
21,R290,SRC_HX,COMP1,3.92927,47.34,14.4472,627.492,2.374,0.127614,7.836,1805.15,24575.44,110559.84,135135.28
22,R290,COMP1,IHX,3.92927,94.01,32.5087,673.444,2.3992,0.05368,18.629,759.33,59579.46,114142.24,173721.7
22c,R290,IHX,cc1,3.92927,77.0,32.5087,425.293,1.702,0.010119,98.823,143.14,15801.46,114142.24,129943.7
23,R290,cc1,VAL1,3.92927,77.0,32.5087,425.293,1.702,0.010119,98.823,143.14,15801.46,114142.24,129943.7
24,R290,VAL1,SRC_HX,3.92927,42.34,14.4472,425.293,1.7334,0.050657,19.741,716.57,10177.7,110559.84,120737.54
31,R600,IHX,COMP2,4.45451,77.0,8.4694,697.405,2.4985,0.218951,4.567,3511.15,58510.53,29763.55,88274.08
32,R600,COMP2,SNK_HX,4.45451,106.87,16.8006,731.785,2.5167,0.102868,9.721,1649.61,86133.96,31199.21,117333.17
32c,R600,SNK_HX,cc2,4.45451,105.0,16.8006,478.513,1.8469,0.009731,102.765,156.05,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.45451,105.0,16.8006,478.513,1.8469,0.009731,102.765,156.05,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.45451,72.0,8.4694,478.513,1.8645,0.07367,13.574,1181.39,25465.66,29763.55,55229.21
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
