label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,15.0,20.12,3.0,84.698,0.2981,0.015026,66.552,811.4,0.1,199.02,199.13
21,R290,SRC_HX,COMP1,2.62512,20.12,7.3392,600.454,2.3907,0.170237,5.874,1608.81,0.05,103207.86,103207.91
22,R290,COMP1,IHX,2.62512,78.25,22.9634,668.223,2.4296,0.055137,18.137,521.06,47331.7,112253.18,159584.88
22c,R290,IHX,cc1,2.62512,59.0,22.9634,364.434,1.5305,0.006078,164.524,57.44,7110.36,112253.18,119363.54
23,R290,cc1,VAL1,2.62512,59.0,22.9634,364.434,1.5305,0.006078,164.524,57.44,7110.36,112253.18,119363.54
24,R290,VAL1,SRC_HX,2.62512,15.12,7.3392,364.434,1.5723,0.062375,16.032,589.47,3912.84,103207.86,107120.7
31,R600,IHX,COMP2,4.94105,59.0,5.4955,672.011,2.4769,0.373702,2.676,6647.32,39968.2,29250.27,69218.47
32,R600,COMP2,SNK_HX,4.94105,115.0,20.2302,736.236,2.51,0.089495,11.174,1591.91,91953.44,31789.28,123742.71
32c,R600,SNK_HX,cc2,4.94105,115.0,20.2302,510.611,1.9287,0.011299,88.501,200.99,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.94105,115.0,20.2302,510.611,1.9287,0.011299,88.501,200.99,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.94105,54.0,5.4955,510.611,1.9838,0.201248,4.969,3579.76,23125.7,29250.27,52375.96
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
