name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,201.246,5.2073,-30.6469,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,313.5405,3.2784,-16.7946,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-787.5165,24.1017,63.8039,104.2425,5.0,5.0,32.6748,1.0,1.0,0.9791,0.3809,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,206.3506,220.0481,5.6864,5.0,5.0,5.3359,1.0,1.0,0.9179,0.9945,,,,,
SRC_HX,HeatExchanger,,,,,-586.2705,81.3197,64.5654,9.99,5.0,5.0,7.2095,1.0,1.0,0.6662,0.9714,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.192,30.6469,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.305,16.7946,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
