name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,163.9405,3.7606,-19.6647,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,295.6711,3.1027,-14.7588,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-832.5308,29.8086,72.2167,83.6983,5.0,5.0,27.9292,1.0,1.0,0.9803,0.4568,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,196.9704,224.9645,6.523,5.0,5.0,5.7278,1.0,1.0,0.9227,0.9941,,,,,
SRC_HX,HeatExchanger,,,,,-668.5902,89.4259,71.7286,10.6605,5.0,5.0,7.4765,1.0,1.0,0.6805,0.9719,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2659,19.6647,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3223,14.7588,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
