name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,320.9993,4.4428,-25.1916,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,165.4348,1.9177,-10.4213,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-962.7671,84.6793,90.7808,21.6771,5.0,5.0,11.3696,1.0,1.0,0.9326,0.7845,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,177.1078,223.4828,7.9703,5.0,5.0,6.3701,1.0,1.0,0.9243,0.9928,,,,,
SRC_HX,HeatExchanger,,,,,-641.7678,38.1354,35.3047,39.99,5.0,5.0,16.8287,1.0,1.0,0.8887,0.6964,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2251,25.1916,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5215,10.4213,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
