label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,14.53987,20.0,3.0,84.194,0.2964,0.014565,68.659,762.37,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,14.53987,10.0,3.0,42.313,0.1511,0.014543,68.762,761.22,731.33,199.02,930.35
21,R1270,SRC_HX,COMP1,2.34394,10.0,6.762,590.739,2.4043,0.169442,5.902,1429.78,298.83,104733.17,105032.0
22,R1270,COMP1,IHX,2.34394,75.48,22.3487,665.744,2.4477,0.055458,18.032,467.97,39925.55,127375.72,167301.28
22c,R1270,IHX,cc1,2.34394,49.0,22.3487,330.941,1.4288,0.005081,196.812,42.87,3825.18,127375.72,131200.9
23,R1270,cc1,VAL1,2.34394,49.0,22.3487,330.941,1.4288,0.005081,196.812,42.87,3825.18,127375.72,131200.9
24,R1270,VAL1,SRC_HX,2.34394,5.0,6.762,330.941,1.4705,0.055796,17.922,470.82,14228.88,104733.17,118962.05
31,R600a,IHX,COMP2,5.58495,49.0,5.8923,622.842,2.3556,0.378381,2.643,7607.66,26343.37,43938.15,70281.52
32,R600a,COMP2,SNK_HX,5.58495,106.15,21.7777,684.337,2.3881,0.088703,11.274,1783.45,75465.7,46780.02,122245.72
32c,R600a,SNK_HX,cc2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.58495,44.0,5.8923,482.329,1.9127,0.216111,4.627,4345.1,15639.47,43938.15,59577.62
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
