label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,15.0,31.14,3.0,130.781,0.4524,0.01507,66.359,813.75,863.45,199.02,1062.47
21,R1270,SRC_HX,COMP1,2.97506,31.14,11.8768,609.33,2.3736,0.1225,8.163,1312.01,7278.79,125349.79,132628.58
22,R1270,COMP1,IHX,2.97506,102.84,38.6052,680.78,2.4118,0.038027,26.297,407.27,62365.98,130497.5,192863.47
22c,R1270,IHX,cc1,2.97506,77.0,38.6052,422.721,1.6902,0.007666,130.454,82.1,15852.4,130497.5,146349.9
23,R1270,cc1,VAL1,2.97506,77.0,38.6052,422.721,1.6902,0.007666,130.454,82.1,15852.4,130497.5,146349.9
24,R1270,VAL1,SRC_HX,2.97506,26.14,11.8768,422.721,1.7503,0.058664,17.046,628.31,3369.06,125349.79,128718.84
31,R600a,IHX,COMP2,7.49156,77.0,11.3563,659.486,2.3868,0.260454,3.839,7024.35,52862.34,44917.42,97779.76
32,R600a,COMP2,SNK_HX,7.49156,128.71,30.8803,703.979,2.409,0.075303,13.28,2030.89,87363.63,48401.61,135765.24
32c,R600a,SNK_HX,cc2,7.49156,125.0,30.8803,557.006,2.04,0.021368,46.798,576.3,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.49156,125.0,30.8803,557.006,2.04,0.021368,46.798,576.3,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.49156,72.0,11.3563,557.006,2.0901,0.17115,5.843,4615.85,37353.67,44917.42,82271.09
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
42,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
