label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,15.0,10.01,3.0,42.337,0.1511,0.015003,66.653,810.16,730.47,199.02,929.49
21,R290,SRC_HX,COMP1,3.05652,10.01,5.5121,589.267,2.3991,0.262238,3.813,2885.53,312.46,89264.84,89577.3
22,R290,COMP1,IHX,3.05652,87.47,25.8676,681.523,2.4507,0.05765,17.346,634.35,53861.52,112828.92,166690.44
22c,R290,IHX,cc1,3.05652,65.0,25.8676,383.851,1.5864,0.007301,136.976,80.33,9565.73,112828.92,122394.65
23,R290,cc1,VAL1,3.05652,65.0,25.8676,383.851,1.5864,0.007301,136.976,80.33,9565.73,112828.92,122394.65
24,R290,VAL1,SRC_HX,3.05652,5.01,5.5121,383.851,1.6608,0.122032,8.195,1342.78,11301.89,89264.84,100566.73
31,R600,IHX,COMP2,4.50294,65.0,6.3824,680.567,2.4838,0.293892,3.403,4764.17,46333.34,29403.38,75736.72
32,R600,COMP2,SNK_HX,4.50294,105.85,16.8006,729.06,2.5095,0.103109,9.698,1671.46,85514.03,31199.21,116713.24
32c,R600,SNK_HX,cc2,4.50294,105.0,16.8006,478.513,1.8469,0.009837,101.66,159.46,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.50294,105.0,16.8006,478.513,1.8469,0.009837,101.66,159.46,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.50294,60.0,6.3824,478.513,1.8776,0.120712,8.284,1956.82,22005.56,29403.38,51408.94
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
