label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,15.0,10.14,3.0,42.88,0.1531,0.015003,66.652,810.17,711.42,199.02,910.44
21,R717,SRC_HX,COMP1,0.59281,10.14,5.1807,1626.451,6.0857,0.14701,6.802,313.74,451.19,226719.81,227171.0
22,R717,COMP1,IHX,0.59281,142.94,22.5248,1904.875,6.223,0.049728,20.109,106.13,170145.13,295202.5,465347.63
22c,R717,IHX,cc1,0.59281,49.0,22.5248,581.072,2.2651,0.001049,953.206,2.24,6619.97,295202.5,301822.47
23,R717,cc1,VAL1,0.59281,49.0,22.5248,581.072,2.2651,0.001049,953.206,2.24,6619.97,295202.5,301822.47
24,R717,VAL1,SRC_HX,0.59281,5.14,5.1807,581.072,2.3297,0.025194,39.692,53.77,56162.87,226719.81,282882.68
31,R600a,IHX,COMP2,5.58495,49.0,5.8923,622.842,2.3556,0.378381,2.643,7607.66,26343.37,43938.15,70281.52
32,R600a,COMP2,SNK_HX,5.58495,106.15,21.7777,684.337,2.3881,0.088703,11.274,1783.45,75465.7,46780.02,122245.72
32c,R600a,SNK_HX,cc2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.58495,44.0,5.8923,482.329,1.9127,0.216111,4.627,4345.1,15639.47,43938.15,59577.62
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
