Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.32,3,119,413.5,10.26,0.6839,0.4849,0.199,-1.807e-14,-2.7e-16,-1.834e-14,-6.903e-13,-2.512e-14,-4.967e-13
21,0.7393,28.32,9.519,1643,5872,226.7,306.6,13.53,293.1,5.926,61.99,67.91,164.5,79.47,83.23
22,0.7393,138.2,31.63,1868,5983,369,499.1,202.5,296.7,45.89,62.75,108.6,85.16,79.47,81.78
22c,0.7393,63,31.63,653.1,2479,230,311.2,14.48,296.7,3.282,62.75,66.04,85.16,79.47,79.74
23,0.7393,63,31.63,653.1,2479,230,311.2,14.48,296.7,3.282,62.75,66.04,85.16,79.47,79.74
24,0.7393,23.32,9.519,653.1,2533,218.4,295.4,2.308,293.1,0.5232,61.99,62.51,85.16,79.47,79.52
31,4.51,63,6.076,677.7,2481,331.9,73.58,44.23,29.35,83.98,39.01,123,116.9,81.86,102.9
32,4.51,105.7,16.8,728.7,2508,526,116.6,85.42,31.2,138.7,41.47,180.2,100,81.86,95.16
32c,4.51,105,16.8,478.5,1847,272.4,60.39,29.19,31.2,47.41,41.47,88.88,100,81.86,90.64
33,4.51,105,16.8,478.5,1847,272.4,60.39,29.19,31.2,47.41,41.47,88.88,100,81.86,90.64
34,4.51,58,6.076,478.5,1880,228.5,50.65,21.3,29.35,34.6,39.01,73.61,100,81.86,89.5
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,96.33,0,96.33,102.4,0,102.4
