name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,215.9336,3.6277,-19.4809,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,302.5943,2.8593,-16.9192,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-812.2287,74.5269,78.5687,20.2367,5.0,5.0,10.8985,1.0,1.0,0.9439,0.7492,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,181.9613,220.8489,7.4112,5.0,5.0,6.1267,1.0,1.0,0.903,0.993,,,,,
SRC_HX,HeatExchanger,,,,,-596.2952,85.0104,67.2342,9.5084,5.0,5.0,7.0144,1.0,1.0,0.6551,0.9212,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2757,19.4809,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3497,16.9192,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
