name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,213.6657,2.6964,-19.7039,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,163.6603,2.0765,-8.7098,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-964.5415,94.6051,93.5304,18.137,5.0,5.0,10.1954,1.0,1.0,0.933,0.8456,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,194.4362,225.0792,6.6864,5.0,5.0,5.8024,1.0,1.0,0.9416,0.9939,,,,,
SRC_HX,HeatExchanger,,,,,-750.8758,94.0136,77.0799,11.9768,5.0,5.0,7.9869,1.0,1.0,0.7055,0.8892,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3709,19.7039,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4816,8.7098,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
