label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
13,water (source),SRC_HX,source outlet,15.0,19.94,3.0,83.937,0.2955,0.015025,66.554,811.37,0.03,199.02,199.05
21,R717,SRC_HX,COMP1,0.68695,19.94,7.267,1636.179,5.9674,0.123347,8.107,305.04,0.02,271590.42,271590.44
22,R717,COMP1,IHX,0.68695,185.09,41.4129,1980.014,6.1215,0.033749,29.63,83.46,271955.15,298286.48,570241.63
22c,R717,IHX,cc1,0.68695,75.0,41.4129,717.629,2.6621,0.001328,752.966,3.28,23707.01,298286.48,321993.48
23,R717,cc1,VAL1,0.68695,75.0,41.4129,717.629,2.6621,0.001328,752.966,3.28,23707.01,298286.48,321993.48
24,R717,VAL1,SRC_HX,0.68695,14.94,7.267,717.629,2.7794,0.030966,32.294,76.58,16012.51,271590.42,287602.93
31,R600a,IHX,COMP2,6.2069,75.0,10.8754,656.978,2.3845,0.225863,4.427,5046.86,51110.0,44831.3,95941.29
32,R600a,COMP2,SNK_HX,6.2069,117.94,26.0191,696.873,2.4049,0.07937,12.599,1773.5,82302.45,47536.22,129838.67
32c,R600a,SNK_HX,cc2,6.2069,115.0,26.0191,517.263,1.9423,0.015941,62.73,356.21,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.2069,115.0,26.0191,517.263,1.9423,0.015941,62.73,356.21,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.2069,70.0,10.8754,517.263,1.9776,0.120581,8.293,2694.37,30683.21,44831.3,75514.5
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
43,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
