Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-6.032e-11,0.199,0,-0,0,-0,-0,0
12,15,11.78,3,49.79,177.4,10.36,0.6906,0.4916,0.199,40.79,-7.583e-17,40.79,1536,-7.056e-15,1094
21,2.98,11.78,5.806,591.3,2397,274.3,92.05,0.2121,91.83,0.9759,76.97,77.95,428.8,78.11,78.92
22,2.98,98.22,31.32,691.1,2452,524.5,176,62.09,113.9,52.04,95.47,147.5,78.11,78.11,78.11
22c,2.98,75,31.32,418.1,1682,383.1,128.5,14.63,113.9,12.26,95.47,107.7,78.11,78.11,78.11
23,2.98,75,31.32,418.1,1682,383.1,128.5,14.63,113.9,12.26,95.47,107.7,78.11,78.11,78.11
24,2.98,6.783,5.806,418.1,1779,298.5,100.1,8.305,91.83,38.2,76.97,115.2,428.8,78.11,107.2
31,5.426,75,8.091,694.6,2496,467.8,86.23,56.53,29.7,104.7,44.13,148.9,94.85,76.07,88.38
32,5.426,126,24.17,747.6,2523,712.9,131.4,98.93,32.47,167.7,48.24,216,86.8,76.07,84.15
32c,5.426,125,24.17,544.6,2013,422.5,77.87,45.4,32.47,76.98,48.24,125.2,86.8,76.07,82.33
33,5.426,125,24.17,544.6,2013,422.5,77.87,45.4,32.47,76.98,48.24,125.2,86.8,76.07,82.33
34,5.426,70,8.091,544.6,2059,348.9,64.31,34.61,29.7,58.68,44.13,102.8,86.8,76.07,81.85
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
42,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,95.21,-0,136,85.48,-0,122.1
