label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
13,water (source),SRC_HX,source outlet,15.0,19.22,3.0,80.947,0.2853,0.015023,66.564,811.25,4.31,199.02,203.33
21,R290,SRC_HX,COMP1,2.7643,19.22,7.1614,599.482,2.3914,0.183653,5.445,1827.61,1.93,102038.44,102040.37
22,R290,COMP1,IHX,2.7643,75.05,21.6063,665.225,2.4294,0.062028,16.122,617.27,44646.89,111983.86,156630.75
22c,R290,IHX,cc1,2.7643,56.0,21.6063,354.989,1.5029,0.006309,158.497,62.79,6031.88,111983.86,118015.74
23,R290,cc1,VAL1,2.7643,56.0,21.6063,354.989,1.5029,0.006309,158.497,62.79,6031.88,111983.86,118015.74
24,R290,VAL1,SRC_HX,2.7643,14.22,7.1614,354.989,1.5409,0.063486,15.752,631.78,4833.83,102038.44,106872.27
31,R600,IHX,COMP2,4.53285,56.0,5.0882,667.706,2.4735,0.369646,2.705,6031.98,36714.94,29179.93,65894.87
32,R600,COMP2,SNK_HX,4.53285,105.24,16.8006,727.407,2.5051,0.103253,9.685,1684.91,85140.57,31199.21,116339.78
32c,R600,SNK_HX,cc2,4.53285,105.0,16.8006,478.513,1.8469,0.009902,100.989,161.58,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.53285,105.0,16.8006,478.513,1.8469,0.009902,100.989,161.58,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.53285,51.0,5.0882,478.513,1.8901,0.171004,5.848,2790.49,18552.47,29179.93,47732.4
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
