label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,15.0,20.63,3.0,86.831,0.3054,0.015028,66.544,811.49,2.83,199.02,201.85
21,R290,SRC_HX,COMP1,2.48375,20.63,7.4418,601.006,2.3903,0.158876,6.294,1420.59,1.28,103867.16,103868.44
22,R290,COMP1,IHX,2.48375,78.14,22.9634,667.924,2.4287,0.052119,19.187,466.02,47282.16,112253.18,159535.33
22c,R290,IHX,cc1,2.48375,59.0,22.9634,364.434,1.5305,0.005751,173.888,51.42,7110.36,112253.18,119363.54
23,R290,cc1,VAL1,2.48375,59.0,22.9634,364.434,1.5305,0.005751,173.888,51.42,7110.36,112253.18,119363.54
24,R290,VAL1,SRC_HX,2.48375,15.63,7.4418,364.434,1.5714,0.057808,17.298,516.89,3498.64,103867.16,107365.8
31,R600a,IHX,COMP2,6.33575,59.0,7.5474,636.238,2.3663,0.335473,2.981,7651.7,36303.01,44234.97,80537.98
32,R600a,COMP2,SNK_HX,6.33575,116.93,26.0191,693.221,2.3956,0.079693,12.548,1817.69,81391.27,47536.22,128927.49
32c,R600a,SNK_HX,cc2,6.33575,115.0,26.0191,517.263,1.9423,0.016272,61.454,371.15,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.33575,115.0,26.0191,517.263,1.9423,0.016272,61.454,371.15,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.33575,54.0,7.5474,517.263,2.0028,0.210079,4.76,4791.63,23868.51,44234.97,68103.49
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
