label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
13,water (source),SRC_HX,source outlet,15.0,18.89,3.0,79.529,0.2805,0.015022,66.568,811.2,8.89,199.02,207.92
21,R717,SRC_HX,COMP1,0.73784,18.89,7.0161,1635.211,5.9797,0.13702,7.298,363.96,6.01,266995.14,267001.15
22,R717,COMP1,IHX,0.73784,175.39,37.0961,1961.188,6.1289,0.039729,25.17,105.53,251656.74,297582.37,549239.11
22c,R717,IHX,cc1,0.73784,70.0,37.0961,690.403,2.5857,0.0014,714.461,3.72,19574.65,297582.37,317157.02
23,R717,cc1,VAL1,0.73784,70.0,37.0961,690.403,2.5857,0.0014,714.461,3.72,19574.65,297582.37,317157.02
24,R717,VAL1,SRC_HX,0.73784,13.89,7.0161,690.403,2.6886,0.031822,31.425,84.53,20008.28,266995.14,287003.42
31,R600,IHX,COMP2,4.48369,70.0,7.1991,687.634,2.4898,0.259589,3.852,4190.1,51496.11,29544.35,81040.47
32,R600,COMP2,SNK_HX,4.48369,106.25,16.8006,730.136,2.5123,0.103014,9.707,1662.78,85758.18,31199.21,116957.39
32c,R600,SNK_HX,cc2,4.48369,105.0,16.8006,478.513,1.8469,0.009795,102.097,158.1,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.48369,105.0,16.8006,478.513,1.8469,0.009795,102.097,158.1,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.48369,65.0,7.1991,478.513,1.8716,0.098785,10.123,1594.52,23599.52,29544.35,53143.87
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
