label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,8.0272,40.0,3.0,167.792,0.5723,0.008089,123.618,233.77,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,8.0272,20.01,3.0,84.236,0.2966,0.008041,124.364,232.37,0.0,199.02,199.02
21,R290,SRC_HX,COMP1,3.30247,20.01,7.3171,600.335,2.3908,0.2148,4.655,2553.73,0.0,103064.49,103064.49
22,R290,COMP1,IHX,3.30247,89.61,27.9524,679.495,2.4348,0.056112,17.822,667.11,56089.74,113241.67,169331.41
22c,R290,IHX,cc1,3.30247,69.0,27.9524,397.237,1.6243,0.00807,123.909,95.95,11436.87,113241.67,124678.54
23,R290,cc1,VAL1,3.30247,69.0,27.9524,397.237,1.6243,0.00807,123.909,95.95,11436.87,113241.67,124678.54
24,R290,VAL1,SRC_HX,3.30247,15.01,7.3171,397.237,1.6863,0.097648,10.241,1160.92,3434.67,103064.49,106499.16
31,R600,IHX,COMP2,4.48766,69.0,7.0299,686.226,2.4886,0.266067,3.758,4298.47,50473.75,29515.15,79988.9
32,R600,COMP2,SNK_HX,4.48766,106.17,16.8006,729.913,2.5117,0.103034,9.706,1664.58,85707.54,31199.21,116906.75
32c,R600,SNK_HX,cc2,4.48766,105.0,16.8006,478.513,1.8469,0.009803,102.006,158.38,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.48766,105.0,16.8006,478.513,1.8469,0.009803,102.006,158.38,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.48766,64.0,7.0299,478.513,1.8728,0.102879,9.72,1662.07,23298.54,29515.15,52813.69
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
