name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,180.1652,3.0701,-18.4702,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,317.3411,3.6812,-14.7347,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-797.482,64.0647,75.4138,25.0684,5.0,5.0,12.4481,1.0,1.0,0.9505,0.7584,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,222.9646,222.9646,5.0,5.0,5.0,5.0,1.0,1.0,0.9313,0.9953,,,,,
SRC_HX,HeatExchanger,,,,,-617.3168,85.626,68.1938,9.99,5.0,5.0,7.2095,1.0,1.0,0.6662,0.9296,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3257,18.4702,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2716,14.7347,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
