label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,12.37,3.0,52.248,0.186,0.015007,66.637,810.36,423.24,199.02,622.26
21,R290,SRC_HX,COMP1,2.7568,12.37,5.905,591.922,2.3969,0.221227,4.52,2195.57,183.18,92671.94,92855.12
22,R290,COMP1,IHX,2.7568,98.08,31.3188,690.728,2.4506,0.041983,23.819,416.66,62007.69,113907.26,175914.95
22c,R290,IHX,cc1,2.7568,75.0,31.3188,418.1,1.6823,0.007,142.85,69.47,14627.29,113907.26,128534.55
23,R290,cc1,VAL1,2.7568,75.0,31.3188,418.1,1.6823,0.007,142.85,69.47,14627.29,113907.26,128534.55
24,R290,VAL1,SRC_HX,2.7568,7.37,5.905,418.1,1.7776,0.120322,8.311,1194.13,7926.14,92671.94,100598.09
31,R600a,IHX,COMP2,7.51788,75.0,10.8754,656.978,2.3845,0.273568,3.655,7403.94,51110.0,44831.3,95941.29
32,R600a,COMP2,SNK_HX,7.51788,128.6,30.8803,703.464,2.4077,0.07537,13.268,2039.83,87224.49,48401.61,135626.1
32c,R600a,SNK_HX,cc2,7.51788,125.0,30.8803,557.006,2.04,0.021444,46.634,580.36,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.51788,125.0,30.8803,557.006,2.04,0.021444,46.634,580.36,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.51788,70.0,10.8754,557.006,2.0934,0.18284,5.469,4948.44,36474.07,44831.3,81305.37
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
