Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-1.589e-10,0.199,0,-0,0,-0,-0,0
13,15,12.37,3,52.25,186,9.334,0.6223,0.4232,0.199,44.02,4.513e-17,44.02,1926,4.199e-15,1310
21,2.757,12.37,5.905,591.9,2397,256,92.86,0.1832,92.67,0.9413,75.87,76.81,517.8,82.49,83.35
22,2.757,98.08,31.32,690.7,2451,485,175.9,62.01,113.9,50.76,93.25,144,82.49,82.49,82.49
22c,2.757,75,31.32,418.1,1682,354.3,128.5,14.63,113.9,11.98,93.25,105.2,82.49,82.49,82.49
23,2.757,75,31.32,418.1,1682,354.3,128.5,14.63,113.9,11.98,93.25,105.2,82.49,82.49,82.49
24,2.757,7.37,5.905,418.1,1778,277.3,100.6,7.926,92.67,40.73,75.87,116.6,517.8,82.49,116.8
31,7.518,75,10.88,657,2384,721.3,95.94,51.11,44.83,136.1,95.05,231.2,98.42,78.34,89.04
32,7.518,128.6,30.88,703.5,2408,1020,135.6,87.22,48.4,212.7,102.6,315.3,90.11,78.34,85.91
32c,7.518,125,30.88,557,2040,728.8,96.94,48.54,48.4,118.4,102.6,221,90.11,78.34,84.23
33,7.518,125,30.88,557,2040,728.8,96.94,48.54,48.4,118.4,102.6,221,90.11,78.34,84.23
34,7.518,70,10.88,557,2093,611.2,81.31,36.47,44.83,88.95,95.05,184,90.11,78.34,83.62
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
43,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,99.91,-0,143.9,89.7,-0,129.2
