label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,5.20646,50.0,3.0,209.59,0.7037,0.005269,189.788,98.76,6009.15,199.02,6208.17
12,water (source),SRC_HX,source outlet,5.20646,20.01,3.0,84.236,0.2966,0.005215,191.742,97.75,0.0,199.02,199.02
21,R1270,SRC_HX,COMP1,3.5369,20.01,8.9222,599.927,2.389,0.194492,5.142,2476.44,0.0,118692.31,118692.31
22,R1270,COMP1,IHX,3.5369,103.79,37.2055,688.109,2.4362,0.048512,20.613,617.7,62812.08,130229.76,193041.84
22c,R1270,IHX,cc1,3.5369,75.0,37.2055,415.401,1.6703,0.008963,111.566,114.13,14645.71,130229.76,144875.47
23,R1270,cc1,VAL1,3.5369,75.0,37.2055,415.401,1.6703,0.008963,111.566,114.13,14645.71,130229.76,144875.47
24,R1270,VAL1,SRC_HX,3.5369,15.01,8.9222,415.401,1.7489,0.098357,10.167,1252.37,3115.88,118692.31,121808.19
31,R600,IHX,COMP2,4.46306,75.0,8.0908,694.63,2.496,0.229775,4.352,3691.79,56531.77,29698.23,86230.0
32,R600,COMP2,SNK_HX,4.46306,106.69,16.8006,731.3,2.5154,0.102911,9.717,1653.47,86023.14,31199.21,117222.35
32c,R600,SNK_HX,cc2,4.46306,105.0,16.8006,478.513,1.8469,0.00975,102.569,156.65,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.46306,105.0,16.8006,478.513,1.8469,0.00975,102.569,156.65,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.46306,70.0,8.0908,478.513,1.8664,0.080257,12.46,1289.5,24974.71,29698.23,54672.94
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
