name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,226.1515,4.3382,-23.7022,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,354.2601,3.7864,-17.7835,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-746.7969,54.1115,68.2207,29.4929,5.0,5.0,13.8011,1.0,1.0,0.947,0.6868,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,214.7332,220.1869,5.2573,5.0,5.0,5.1276,1.0,1.0,0.9173,0.9949,,,,,
SRC_HX,HeatExchanger,,,,,-520.6454,80.0157,61.8137,8.2896,5.0,5.0,6.5068,1.0,1.0,0.6233,0.9366,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2305,23.7022,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2641,17.7835,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
