label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
13,water (source),SRC_HX,source outlet,15.0,28.84,3.0,121.15,0.4206,0.015059,66.406,813.19,546.09,199.02,745.12
21,R1270,SRC_HX,COMP1,3.00092,28.84,11.2139,607.465,2.3767,0.131047,7.631,1415.74,4627.91,125221.12,129849.03
22,R1270,COMP1,IHX,3.00092,86.1,29.6319,666.951,2.41,0.050789,19.689,548.69,50786.65,128777.69,179564.35
22c,R1270,IHX,cc1,3.00092,63.0,29.6319,374.327,1.5556,0.006999,142.876,75.61,8632.23,128777.69,137409.92
23,R1270,cc1,VAL1,3.00092,63.0,29.6319,374.327,1.5556,0.006999,142.876,75.61,8632.23,128777.69,137409.92
24,R1270,VAL1,SRC_HX,3.00092,23.84,11.2139,374.327,1.592,0.046682,21.421,504.32,1535.04,125221.12,126756.16
31,R600a,IHX,COMP2,5.51638,63.0,8.297,641.518,2.3707,0.265424,3.768,5271.04,40134.63,44369.34,84503.97
32,R600a,COMP2,SNK_HX,5.51638,106.96,21.7777,686.848,2.3947,0.088496,11.3,1757.44,76038.09,46780.02,122818.11
32c,R600a,SNK_HX,cc2,5.51638,105.0,21.7777,482.329,1.8539,0.01321,75.701,262.33,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.51638,105.0,21.7777,482.329,1.8539,0.01321,75.701,262.33,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.51638,58.0,8.297,482.329,1.8903,0.130337,7.672,2588.36,21798.06,44369.34,66167.4
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
