name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,403.5669,5.1442,-30.3239,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,112.504,1.6608,-6.6847,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-1015.6979,86.5846,92.5124,22.7985,5.0,5.0,11.7307,1.0,1.0,0.9183,0.8162,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,181.3937,224.418,7.6231,5.0,5.0,6.2196,1.0,1.0,0.9421,0.9931,,,,,
SRC_HX,HeatExchanger,,,,,-612.131,36.3743,33.684,39.99,5.0,5.0,16.8287,1.0,1.0,0.8887,0.6549,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.1944,30.3239,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.6021,6.6847,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
