Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.4,3,123.5,428.4,12.24,0.8159,0.6168,0.199,-1.023e-14,7.908e-17,-1.015e-14,-3.07e-13,7.359e-15,-2.303e-13
21,0.7089,29.4,9.843,1644,5860,220.4,310.9,17.78,293.1,7.05,60.73,67.78,155.3,81.19,85.43
22,0.7089,159.8,39.64,1911,5986,383.5,541,243,298,53.72,61.74,115.5,86.61,81.19,83.62
22c,0.7089,73,39.64,706.7,2631,226.8,320,22,298,4.864,61.74,66.61,86.61,81.19,81.56
23,0.7089,73,39.64,706.7,2631,226.8,320,22,298,4.864,61.74,66.61,86.61,81.19,81.56
24,0.7089,24.4,9.843,706.7,2710,210.5,296.9,3.799,293.1,0.8397,60.73,61.57,86.61,81.19,81.26
31,6.224,73,10.41,654.4,2382,585.5,94.08,49.34,44.75,126.2,82.66,208.9,114.2,82.44,99.1
32,6.224,117.8,26.02,696.4,2404,807.3,129.7,82.18,47.54,186.9,87.81,274.7,101.5,82.44,94.53
32c,6.224,115,26.02,517.3,1942,534.3,85.85,38.31,47.54,87.14,87.81,174.9,101.5,82.44,90.96
33,6.224,115,26.02,517.3,1942,534.3,85.85,38.31,47.54,87.14,87.81,174.9,101.5,82.44,90.96
34,6.224,68,10.41,517.3,1980,465,74.71,29.96,44.75,68.15,82.66,150.8,101.5,82.44,90.09
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,105.6,-0,105.6,102.6,-0,102.6
