Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.45,3,119.5,415.3,10.49,0.6991,0.5,0.199,-4.867e-14,2.758e-16,-4.84e-14,-1.803e-12,2.566e-14,-1.282e-12
21,0.7553,28.45,9.558,1643,5870,232,307.1,14.05,293.1,6.159,62.51,68.67,161.2,78.44,82.23
22,0.7553,152.2,36.27,1897,5992,396.7,525.3,227.8,297.4,51.76,63.44,115.2,83.55,78.44,80.65
22c,0.7553,69,36.27,685,2570,238.9,316.2,18.8,297.4,4.27,63.44,67.71,83.55,78.44,78.74
23,0.7553,69,36.27,685,2570,238.9,316.2,18.8,297.4,4.27,63.44,67.71,83.55,78.44,78.74
24,0.7553,23.45,9.558,685,2640,223.4,295.8,2.766,293.1,0.6282,62.51,63.14,83.55,78.44,78.49
31,5.482,69,9.522,649.3,2378,495.1,90.31,45.72,44.59,102.2,71.06,173.2,113.2,80.75,97.2
32,5.482,107.4,21.78,688.1,2398,674.9,123.1,76.33,46.78,151,74.55,225.5,100.2,80.75,92.82
32c,5.482,105,21.78,482.3,1854,421.2,76.83,30.05,46.78,59.44,74.55,134,100.2,80.75,88.36
33,5.482,105,21.78,482.3,1854,421.2,76.83,30.05,46.78,59.44,74.55,134,100.2,80.75,88.36
34,5.482,64,9.522,482.3,1882,375.2,68.45,23.86,44.59,47.18,71.06,118.2,100.2,80.75,87.54
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,96.77,0,96.77,102.9,0,102.9
