Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.82,3,125.3,434.2,13.07,0.8717,0.6726,0.199,6.584e-17,-6.584e-17,0,1.813e-15,-6.127e-15,0
21,3.196,29.82,9.477,610.7,2384,368.7,115.4,5.786,109.6,10.66,113.7,124.3,160.1,90.18,93.68
22,3.196,92.24,30.16,678.2,2421,549.5,172,58.27,113.7,65.11,117.9,183.1,97.12,90.18,92.53
22c,3.196,73,30.16,411,1663,406.5,127.2,13.51,113.7,15.1,117.9,133,97.12,90.18,90.91
23,3.196,73,30.16,411,1663,406.5,127.2,13.51,113.7,15.1,117.9,133,97.12,90.18,90.91
24,3.196,24.82,9.477,411,1714,358.1,112,2.474,109.6,2.765,113.7,116.4,97.12,90.18,90.33
31,6.224,73,10.41,654.4,2382,585.5,94.08,49.34,44.75,134.2,88.81,223,121.4,88.58,105.8
32,6.224,117.8,26.02,696.4,2404,807.3,129.7,82.18,47.54,199.4,94.34,293.7,108.3,88.58,101.1
32c,6.224,115,26.02,517.3,1942,534.3,85.85,38.31,47.54,92.95,94.34,187.3,108.3,88.58,97.37
33,6.224,115,26.02,517.3,1942,534.3,85.85,38.31,47.54,92.95,94.34,187.3,108.3,88.58,97.37
34,6.224,68,10.41,517.3,1980,465,74.71,29.96,44.75,72.7,88.81,161.5,108.3,88.58,96.48
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,113.3,-0,113.3,110,-0,110
