name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,208.6608,2.4158,-20.5105,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,132.5396,1.8132,-7.5349,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-995.6623,99.112,96.0569,17.6982,5.0,5.0,10.0458,1.0,1.0,0.9221,0.8504,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,186.4529,224.7114,7.2396,5.0,5.0,6.0509,1.0,1.0,0.9419,0.9934,,,,,
SRC_HX,HeatExchanger,,,,,-787.0015,95.9493,79.2491,12.5454,5.0,5.0,8.2023,1.0,1.0,0.7151,0.8707,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.4139,20.5105,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5515,7.5349,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
