label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
13,water (source),SRC_HX,source outlet,15.0,21.87,3.0,92.016,0.323,0.015032,66.526,811.71,24.84,199.02,223.86
21,R290,SRC_HX,COMP1,3.08442,21.02,7.5205,601.424,2.3901,0.195255,5.121,2168.1,3.35,104365.98,104369.33
22,R290,COMP1,IHX,3.08442,102.37,34.6272,690.721,2.438,0.041223,24.258,457.73,65058.68,114560.28,179618.96
22c,R290,IHX,cc1,3.08442,79.95,34.3272,436.136,1.7315,0.008121,123.133,90.18,17640.67,114501.11,132141.78
23,R290,cc1,VAL1,3.08442,79.95,34.3272,436.136,1.7315,0.008121,123.133,90.18,17640.67,114501.11,132141.78
24,R290,VAL1,SRC_HX,3.08442,16.87,7.6955,436.136,1.8167,0.105054,9.519,1166.51,1722.94,105452.38,107175.32
31,R600a,IHX,COMP2,7.44497,79.41,11.9568,662.479,2.3895,0.245052,4.081,6567.85,54945.33,45024.93,99970.26
32,R600a,COMP2,SNK_HX,7.44497,129.38,31.1303,704.898,2.4106,0.074194,13.478,1988.55,87750.9,48446.08,136196.98
32c,R600a,SNK_HX,cc2,7.44497,125.0,30.8803,557.006,2.04,0.021236,47.091,569.15,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.44497,125.0,30.8803,557.006,2.04,0.021236,47.091,569.15,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.44497,75.0,12.1068,557.006,2.0854,0.154756,6.462,4147.75,38602.54,45051.78,83654.32
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
