label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
13,water (source),SRC_HX,source outlet,15.0,20.15,3.0,84.812,0.2985,0.015026,66.551,811.41,0.16,199.02,199.18
21,R1270,SRC_HX,COMP1,2.59029,20.15,8.955,600.049,2.3888,0.141917,7.046,1323.39,0.07,118872.62,118872.68
22,R1270,COMP1,IHX,2.59029,84.02,27.3924,669.389,2.428,0.048627,20.565,453.45,48392.96,128347.2,176740.16
22c,R1270,IHX,cc1,2.59029,59.0,27.3924,361.516,1.5188,0.005904,169.365,55.06,7037.76,128347.2,135384.95
23,R1270,cc1,VAL1,2.59029,59.0,27.3924,361.516,1.5188,0.005904,169.365,55.06,7037.76,128347.2,135384.95
24,R1270,VAL1,SRC_HX,2.59029,15.15,8.955,361.516,1.5617,0.051423,19.447,479.52,3935.22,118872.62,122807.84
31,R600,IHX,COMP2,4.94105,59.0,5.4955,672.011,2.4769,0.373702,2.676,6647.32,39968.2,29250.27,69218.47
32,R600,COMP2,SNK_HX,4.94105,115.0,20.2302,736.236,2.51,0.089495,11.174,1591.91,91953.44,31789.28,123742.71
32c,R600,SNK_HX,cc2,4.94105,115.0,20.2302,510.611,1.9287,0.011299,88.501,200.99,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.94105,115.0,20.2302,510.611,1.9287,0.011299,88.501,200.99,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.94105,54.0,5.4955,510.611,1.9838,0.201248,4.969,3579.76,23125.7,29250.27,52375.96
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
43,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
