label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,60.0,3.0,251.416,0.8311,0.015255,65.552,823.77,10467.41,199.02,10666.43
13,water (source),SRC_HX,source outlet,15.0,47.07,3.0,197.331,0.6656,0.01516,65.961,818.66,4921.87,199.02,5120.89
21,R717,SRC_HX,COMP1,0.9221,47.07,16.4564,1653.696,5.672,0.074621,13.401,247.71,81501.74,294209.9,375711.64
22,R717,COMP1,IHX,0.9221,154.34,51.1642,1866.131,5.7729,0.031942,31.306,106.04,258681.09,299875.38,558556.47
22c,R717,IHX,cc1,0.9221,85.0,51.1642,773.897,2.816,0.001859,538.013,6.17,33277.64,299875.38,333153.02
23,R717,cc1,VAL1,0.9221,85.0,51.1642,773.897,2.816,0.001859,538.013,6.17,33277.64,299875.38,333153.02
24,R717,VAL1,SRC_HX,0.9221,42.07,16.4564,773.897,2.8813,0.016387,61.023,54.4,19782.9,294209.9,313992.8
31,R600a,IHX,COMP2,5.38762,85.0,13.4379,669.267,2.3957,0.156372,6.395,3032.9,59643.49,45289.98,104933.47
32,R600a,COMP2,SNK_HX,5.38762,108.57,21.7777,691.735,2.4075,0.088075,11.354,1708.25,77164.23,46780.02,123944.25
32c,R600a,SNK_HX,cc2,5.38762,105.0,21.7777,482.329,1.8539,0.012902,77.51,250.23,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.38762,105.0,21.7777,482.329,1.8539,0.012902,77.51,250.23,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.38762,80.0,13.4379,482.329,1.8666,0.054278,18.424,1052.75,27813.45,45289.98,73103.44
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
