name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,195.5196,4.3421,-24.3448,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,250.0578,2.6248,-13.4807,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-878.144,29.2508,74.0075,92.6406,5.0,5.0,30.0212,1.0,1.0,0.9797,0.439,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,190.3391,224.5791,6.9628,5.0,5.0,5.9273,1.0,1.0,0.9232,0.9937,,,,,
SRC_HX,HeatExchanger,,,,,-682.6244,63.1072,54.993,19.99,5.0,5.0,10.8169,1.0,1.0,0.7997,0.9478,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2303,24.3448,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.381,13.4807,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
