label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,15.0,10.29,3.0,43.522,0.1553,0.015003,66.651,810.19,689.25,199.02,888.27
21,R1270,SRC_HX,COMP1,2.34581,10.29,6.8182,591.012,2.4038,0.16821,5.945,1420.52,282.09,105159.16,105441.24
22,R1270,COMP1,IHX,2.34581,75.36,22.3487,665.477,2.447,0.055459,18.032,468.34,39883.11,127375.72,167258.83
22c,R1270,IHX,cc1,2.34581,49.0,22.3487,330.941,1.4288,0.005085,196.655,42.94,3825.18,127375.72,131200.9
23,R1270,cc1,VAL1,2.34581,49.0,22.3487,330.941,1.4288,0.005085,196.655,42.94,3825.18,127375.72,131200.9
24,R1270,VAL1,SRC_HX,2.34581,5.29,6.8182,330.941,1.4701,0.055169,18.126,465.89,13942.98,105159.16,119102.13
31,R600a,IHX,COMP2,5.58495,49.0,5.8923,622.842,2.3556,0.378381,2.643,7607.66,26343.37,43938.15,70281.52
32,R600a,COMP2,SNK_HX,5.58495,106.15,21.7777,684.337,2.3881,0.088703,11.274,1783.45,75465.7,46780.02,122245.72
32c,R600a,SNK_HX,cc2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.58495,44.0,5.8923,482.329,1.9127,0.216111,4.627,4345.1,15639.47,43938.15,59577.62
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
