name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,220.0339,3.3662,-20.8291,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,250.0578,2.6248,-13.4807,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-878.144,68.6142,82.0522,26.1962,5.0,5.0,12.7983,1.0,1.0,0.9475,0.7424,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,190.3391,224.5791,6.9628,5.0,5.0,5.9273,1.0,1.0,0.9232,0.9937,,,,,
SRC_HX,HeatExchanger,,,,,-658.1101,88.8084,71.2941,10.4935,5.0,5.0,7.4104,1.0,1.0,0.677,0.9226,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2971,20.8291,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.381,13.4807,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
