Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.55,3,124.1,430.5,12.54,0.8359,0.6368,0.199,-2.496e-14,-2.254e-17,-2.498e-14,-7.257e-13,-2.097e-15,-5.534e-13
21,3.277,29.55,11.42,608,2376,428.4,130.7,5.456,125.3,9.437,125.1,134.6,146.6,84.67,87.26
22,3.277,98.33,35.85,677.7,2413,620.5,189.3,59.36,130,63.28,129.8,193.1,90.36,84.67,86.46
22c,3.277,73,35.85,408.2,1651,470.2,143.5,13.5,130,14.4,129.8,144.2,90.36,84.67,85.21
23,3.277,73,35.85,408.2,1651,470.2,143.5,13.5,130,14.4,129.8,144.2,90.36,84.67,85.21
24,3.277,24.55,11.42,408.2,1705,418.1,127.6,2.32,125.3,2.474,125.1,127.6,90.36,84.67,84.77
31,4.874,73,7.725,691.8,2494,410.2,84.17,54.53,29.64,108.2,45.02,153.2,113.1,86.58,103.7
32,4.874,115.9,20.23,739.4,2518,606.8,124.5,92.72,31.79,166.2,48.29,214.5,102.2,86.58,98.18
32c,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,65.84,48.29,114.1,102.2,86.58,94.93
33,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,65.84,48.29,114.1,102.2,86.58,94.93
34,4.874,68,7.725,510.6,1963,285.6,58.6,28.97,29.64,51.92,45.02,96.94,102.2,86.58,94.28
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,106.4,-0,106.4,103.3,-0,103.3
