Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-1.589e-10,0.199,0,-0,0,-0,-0,0
12,15,11.82,3,49.93,177.9,10.3,0.6865,0.4875,0.199,39.83,-6.098e-17,39.83,1513,-5.674e-15,1074
21,2.903,11.82,7.122,592.5,2401,312.3,107.6,0.2013,107.4,0.8852,85.6,86.49,420.9,76.27,76.92
22,2.903,106.6,37.21,695.7,2456,565.4,194.8,64.52,130.2,51.43,103.8,155.2,76.27,76.27,76.27
22c,2.903,75,37.21,415.4,1670,420.6,144.9,14.65,130.2,11.67,103.8,115.5,76.27,76.27,76.27
23,2.903,75,37.21,415.4,1670,420.6,144.9,14.65,130.2,11.67,103.8,115.5,76.27,76.27,76.27
24,2.903,6.817,7.122,415.4,1769,336.3,115.9,8.458,107.4,37.2,85.6,122.8,420.9,76.27,101.4
31,5.426,75,8.091,694.6,2496,467.8,86.23,56.53,29.7,104.2,44.09,148.3,94.37,76,88.05
32,5.426,126,24.17,747.6,2523,712.9,131.4,98.93,32.47,167.1,48.19,215.3,86.5,76,83.91
32c,5.426,125,24.17,544.6,2013,422.5,77.87,45.4,32.47,76.71,48.19,124.9,86.5,76,82.12
33,5.426,125,24.17,544.6,2013,422.5,77.87,45.4,32.47,76.71,48.19,124.9,86.5,76,82.12
34,5.426,70,8.091,544.6,2059,348.9,64.31,34.61,29.7,58.48,44.09,102.6,86.5,76,81.65
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
42,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,94.89,-0,134.7,85.19,-0,120.9
